word,syllables,ncSource,wordType,yearBand
deep,deep,practice_list,adjective,y34
finally,fi-nal-ly,practice_list,adverb,y34
alone,a-lone,practice_list,adjective,y34
able,a-ble,practice_list,adjective,y34
quickly,quick-ly,practice_list,adverb,y34
wait,wait,practice_list,verb,y34
understand,un-der-stand,practice_list,verb,y34
upon,u-pon,practice_list,preposition,y34
matter,mat-ter,practice_list,noun,y34
either,ei-ther,practice_list,conjunction,y34
instead,in-stead,practice_list,adverb,y34
sky,sky,practice_list,noun,y34
sometimes,some-times,practice_list,adverb,y34
point,point,practice_list,noun,y34
person,per-son,practice_list,noun,y34
large,large,practice_list,adjective,y34
fine,fine,practice_list,adjective,y34
exactly,ex-act-ly,practice_list,adverb,y34
rather,ra-ther,practice_list,adverb,y34
speak,speak,practice_list,verb,y34
onto,on-to,practice_list,preposition,y34
stone,stone,practice_list,noun,y34
sort,sort,practice_list,noun,y34
ago,a-go,practice_list,adverb,y34
fact,fact,practice_list,noun,y34
lay,lay,practice_list,verb,y34
cut,cut,practice_list,verb,y34
chest,chest,practice_list,noun,y34
line,line,practice_list,noun,y34
corner,cor-ner,practice_list,noun,y34
power,pow-er,practice_list,noun,y34
anyway,an-y-way,practice_list,adverb,y34
chance,chance,practice_list,noun,y34
empty,emp-ty,practice_list,adjective,y34
safe,safe,practice_list,adjective,y34
sense,sense,practice_list,noun,y34
yourself,your-self,practice_list,pronoun,y34
reason,rea-son,practice_list,noun,y34
seem,seem,practice_list,verb,y34
tiny,ti-ny,practice_list,adjective,y34
afraid,a-fraid,practice_list,adjective,y34
wide,wide,practice_list,adjective,y34
foot,foot,practice_list,noun,y34
sight,sight,practice_list,noun,y34
bright,bright,practice_list,adjective,y34
themselves,them-selves,practice_list,pronoun,y34
trouble,trou-ble,practice_list,noun,y34
become,be-come,practice_list,verb,y34
except,ex-cept,practice_list,preposition,y34
silver,sil-ver,practice_list,noun,y34
aunt,aunt,practice_list,noun,y34
fall,fall,practice_list,verb,y34
ahead,a-head,practice_list,adverb,y34
nearly,near-ly,practice_list,adverb,y34
week,week,practice_list,noun,y34
strong,strong,practice_list,adjective,y34
easy,ea-sy,practice_list,adjective,y34
heavy,heav-y,practice_list,adjective,y34
happen,hap-pen,practice_list,verb,y34
job,job,practice_list,noun,y34
seat,seat,practice_list,noun,y34
somewhere,some-where,practice_list,adverb,y34
wonder,won-der,practice_list,verb,y34
evening,eve-ning,practice_list,noun,y34
however,how-ev-er,practice_list,adverb,y34
laugh,laugh,practice_list,verb,y34
below,be-low,practice_list,preposition,y34
space,space,practice_list,noun,y34
worry,wor-ry,practice_list,verb,y34
none,none,practice_list,pronoun,y34
number,num-ber,practice_list,noun,y34
smell,smell,practice_list,verb,y34
alive,a-live,practice_list,adjective,y34
forest,for-est,practice_list,noun,y34
country,coun-try,practice_list,noun,y34
loud,loud,practice_list,adjective,y34
couple,cou-ple,practice_list,noun,y34
quick,quick,practice_list,adjective,y34
stairs,stairs,practice_list,noun,y34
party,par-ty,practice_list,noun,y34
game,game,practice_list,noun,y34
order,or-der,practice_list,noun,y34
bottom,bot-tom,practice_list,noun,y34
train,train,practice_list,noun,y34
soft,soft,practice_list,adjective,y34
tall,tall,practice_list,adjective,y34
tomorrow,to-mor-row,practice_list,noun,y34
office,of-fice,practice_list,noun,y34
touch,touch,practice_list,verb,y34
perfect,per-fect,practice_list,adjective,y34
control,con-trol,practice_list,verb,y34
save,save,practice_list,verb,y34
forget,for-get,practice_list,verb,y34
tired,tired,practice_list,adjective,y34
dream,dream,practice_list,noun,y34
hole,hole,practice_list,noun,y34
stuck,stuck,practice_list,adjective,y34
scared,scared,practice_list,adjective,y34
thin,thin,practice_list,adjective,y34
summer,sum-mer,practice_list,noun,y34
cool,cool,practice_list,adjective,y34
daughter,daugh-ter,practice_list,noun,y34
trust,trust,practice_list,verb,y34
tight,tight,practice_list,adjective,y34
hide,hide,practice_list,verb,y34
wooden,wood-en,practice_list,adjective,y34
wet,wet,practice_list,adjective,y34
ring,ring,practice_list,noun,y34
neither,nei-ther,practice_list,conjunction,y34
team,team,practice_list,noun,y34
pay,pay,practice_list,verb,y34
north,north,practice_list,noun,y34
song,song,practice_list,noun,y34
golden,gol-den,practice_list,adjective,y34
escape,es-cape,practice_list,verb,y34
chapter,chap-ter,practice_list,noun,y34
roof,roof,practice_list,noun,y34
gate,gate,practice_list,noun,y34
conversation,con-ver-sa-tion,practice_list,noun,y34
usually,u-su-al-ly,practice_list,adverb,y34
slightly,slight-ly,practice_list,adverb,y34
state,state,practice_list,noun,y34
breakfast,break-fast,practice_list,noun,y34
apart,a-part,practice_list,adverb,y34
mountain,moun-tain,practice_list,noun,y34
explain,ex-plain,practice_list,verb,y34
drive,drive,practice_list,verb,y34
herself,her-self,practice_list,pronoun,y34
toward,to-ward,practice_list,preposition,y34
beside,be-side,practice_list,preposition,y34
police,po-lice,practice_list,noun,y34
crowd,crowd,practice_list,noun,y34
shadow,shad-ow,practice_list,noun,y34
figure,fig-ure,practice_list,noun,y34
itself,it-self,practice_list,pronoun,y34
somehow,some-how,practice_list,adverb,y34
surprised,sur-prised,practice_list,adjective,y34
among,a-mong,practice_list,preposition,y34
silent,si-lent,practice_list,adjective,y34
return,re-turn,practice_list,verb,y34
several,sev-er-al,practice_list,determiner,y34
darkness,dark-ness,practice_list,noun,y34
within,with-in,practice_list,preposition,y34
thick,thick,practice_list,adjective,y34
nobody,no-bod-y,practice_list,pronoun,y34
tonight,to-night,practice_list,noun,y34
pale,pale,practice_list,adjective,y34
further,fur-ther,practice_list,adverb,y34
completely,com-plete-ly,practice_list,adverb,y34
afternoon,af-ter-noon,practice_list,noun,y34
wife,wife,practice_list,noun,y34
sick,sick,practice_list,adjective,y34
deal,deal,practice_list,noun,y34
whose,whose,practice_list,pronoun,y34
certainly,cer-tain-ly,practice_list,adverb,y34
glance,glance,practice_list,noun,y34
carry,car-ry,practice_list,verb,y34
sudden,sud-den,practice_list,adjective,y34
view,view,practice_list,noun,y34
beat,beat,practice_list,verb,y34
iron,i-ron,practice_list,noun,y34
form,form,practice_list,noun,y34
company,com-pa-ny,practice_list,noun,y34
memory,mem-o-ry,practice_list,noun,y34
visit,vis-it,practice_list,verb,y34
crazy,cra-zy,practice_list,adjective,y34
prince,prince,practice_list,noun,y34
army,ar-my,practice_list,noun,y34
lead,lead,practice_list,verb,y34
normal,nor-mal,practice_list,adjective,y34
tongue,tongue,practice_list,noun,y34
future,fu-ture,practice_list,noun,y34
cover,cov-er,practice_list,verb,y34
anger,an-ger,practice_list,noun,y34
wake,wake,practice_list,verb,y34
relief,re-lief,practice_list,noun,y34
begin,be-gin,practice_list,verb,y34
act,act,practice_list,noun,y34
expect,ex-pect,practice_list,verb,y34
storm,storm,practice_list,noun,y34
kiss,kiss,practice_list,noun,y34
size,size,practice_list,noun,y34
careful,care-ful,practice_list,adjective,y34
softly,soft-ly,practice_list,adverb,y34
page,page,practice_list,noun,y34
cup,cup,practice_list,noun,y34
check,check,practice_list,verb,y34
main,main,practice_list,adjective,y34
cave,cave,practice_list,noun,y34
unless,un-less,practice_list,conjunction,y34
choice,choice,practice_list,noun,y34
message,mes-sage,practice_list,noun,y34
count,count,practice_list,verb,y34
west,west,practice_list,noun,y34
danger,dan-ger,practice_list,noun,y34
hungry,hun-gry,practice_list,adjective,y34
shake,shake,practice_list,verb,y34
yours,yours,practice_list,pronoun,y34
despite,de-spite,practice_list,preposition,y34
winter,win-ter,practice_list,noun,y34
weird,weird,practice_list,adjective,y34
aside,a-side,practice_list,adverb,y34
throw,throw,practice_list,verb,y34
pleased,pleased,practice_list,adjective,y34
surface,sur-face,practice_list,noun,y34
general,gen-er-al,practice_list,adjective,y34
screen,screen,practice_list,noun,y34
tower,tow-er,practice_list,noun,y34
whisper,whis-per,practice_list,verb,y34
lucky,luck-y,practice_list,adjective,y34
twice,twice,practice_list,adverb,y34
wear,wear,practice_list,verb,y34
forehead,fore-head,practice_list,noun,y34
stare,stare,practice_list,verb,y34
church,church,practice_list,noun,y34
everywhere,ev-ery-where,practice_list,adverb,y34
attack,at-tack,practice_list,noun,y34
court,court,practice_list,noun,y34
heat,heat,practice_list,noun,y34
perfectly,per-fect-ly,practice_list,adverb,y34
final,fi-nal,practice_list,adjective,y34
simple,sim-ple,practice_list,adjective,y34
jump,jump,practice_list,verb,y34
anywhere,an-y-where,practice_list,adverb,y34
definitely,def-i-nite-ly,practice_list,adverb,y34
narrow,nar-row,practice_list,adjective,y34
cheek,cheek,practice_list,noun,y34
ceiling,ceil-ing,practice_list,noun,y34
professor,pro-fes-sor,practice_list,noun,y34
suit,suit,practice_list,noun,y34
eventually,e-ven-tu-al-ly,practice_list,adverb,y34
lake,lake,practice_list,noun,y34
likely,like-ly,practice_list,adjective,y34
surely,sure-ly,practice_list,adverb,y34
self,self,practice_list,noun,y34
corridor,cor-ri-dor,practice_list,noun,y34
grey,grey,practice_list,adjective,y34
board,board,practice_list,noun,y34
east,east,practice_list,noun,y34
lovely,love-ly,practice_list,adjective,y34
map,map,practice_list,noun,y34
hurry,hur-ry,practice_list,verb,y34
wave,wave,practice_list,noun,y34
tone,tone,practice_list,noun,y34
welcome,wel-come,practice_list,adjective,y34
wonderful,won-der-ful,practice_list,adjective,y34
obviously,ob-vi-ous-ly,practice_list,adverb,y34
monster,mon-ster,practice_list,noun,y34
enemy,en-e-my,practice_list,noun,y34
awful,aw-ful,practice_list,adjective,y34
powerful,pow-er-ful,practice_list,adjective,y34
hang,hang,practice_list,verb,y34
proud,proud,practice_list,adjective,y34
doorway,door-way,practice_list,noun,y34
handle,han-dle,practice_list,verb,y34
fault,fault,practice_list,noun,y34
stage,stage,practice_list,noun,y34
odd,odd,practice_list,adjective,y34
mirror,mir-ror,practice_list,noun,y34
journey,jour-ney,practice_list,noun,y34
husband,hus-band,practice_list,noun,y34
dare,dare,practice_list,verb,y34
laughter,laugh-ter,practice_list,noun,y34
frightened,fright-ened,practice_list,adjective,y34
rope,rope,practice_list,noun,y34
confused,con-fused,practice_list,adjective,y34
silly,sil-ly,practice_list,adjective,y34
somebody,some-bod-y,practice_list,pronoun,y34
protect,pro-tect,practice_list,verb,y34
forever,for-ev-er,practice_list,adverb,y34
yard,yard,practice_list,noun,y34
nod,nod,practice_list,verb,y34
excited,ex-cit-ed,practice_list,adjective,y34
list,list,practice_list,noun,y34
lift,lift,practice_list,verb,y34
whenever,when-ev-er,practice_list,conjunction,y34
spring,spring,practice_list,noun,y34
upstairs,up-stairs,practice_list,adverb,y34
law,law,practice_list,noun,y34
proper,prop-er,practice_list,adjective,y34
absolutely,ab-so-lute-ly,practice_list,adverb,y34
chocolate,choc-o-late,practice_list,noun,y34
area,a-re-a,practice_list,noun,y34
possibly,pos-si-bly,practice_list,adverb,y34
search,search,practice_list,verb,y34
awake,a-wake,practice_list,adjective,y34
leather,leath-er,practice_list,noun,y34
cloud,cloud,practice_list,noun,y34
truly,tru-ly,practice_list,adverb,y34
forth,forth,practice_list,adverb,y34
row,row,practice_list,noun,y34
panic,pan-ic,practice_list,noun,y34
art,art,practice_list,noun,y34
mud,mud,practice_list,noun,y34
interested,in-ter-est-ed,practice_list,adjective,y34
study,stud-y,practice_list,verb,y34
common,com-mon,practice_list,adjective,y34
mostly,most-ly,practice_list,adverb,y34
excitement,ex-cite-ment,practice_list,noun,y34
princess,prin-cess,practice_list,noun,y34
lower,low-er,practice_list,verb,y34
situation,sit-u-a-tion,practice_list,noun,y34
store,store,practice_list,noun,y34
orange,or-ange,practice_list,noun,y34
bathroom,bath-room,practice_list,noun,y34
ocean,o-cean,practice_list,noun,y34
spirit,spir-it,practice_list,noun,y34
plate,plate,practice_list,noun,y34
ourselves,our-selves,practice_list,pronoun,y34
engine,en-gine,practice_list,noun,y34
level,lev-el,practice_list,noun,y34
entirely,en-tire-ly,practice_list,adverb,y34
movement,move-ment,practice_list,noun,y34
hotel,ho-tel,practice_list,noun,y34
lock,lock,practice_list,noun,y34
double,dou-ble,practice_list,adjective,y34
offer,of-fer,practice_list,verb,y34
interesting,in-ter-est-ing,practice_list,adjective,y34
sigh,sigh,practice_list,noun,y34
dirty,dir-ty,practice_list,adjective,y34
finish,fin-ish,practice_list,verb,y34
aware,a-ware,practice_list,adjective,y34
grandfather,grand-fa-ther,practice_list,noun,y34
upset,up-set,practice_list,adjective,y34
private,pri-vate,practice_list,adjective,y34
major,ma-jor,practice_list,adjective,y34
warning,warn-ing,practice_list,noun,y34
pool,pool,practice_list,noun,y34
fellow,fel-low,practice_list,noun,y34
card,card,practice_list,noun,y34
weak,weak,practice_list,adjective,y34
chief,chief,practice_list,noun,y34
nearby,near-by,practice_list,adjective,y34
dozen,doz-en,practice_list,noun,y34
palace,pal-ace,practice_list,noun,y34
rise,rise,practice_list,verb,y34
flash,flash,practice_list,noun,y34
training,train-ing,practice_list,noun,y34
nowhere,no-where,practice_list,adverb,y34
bow,bow,practice_list,noun,y34
purple,pur-ple,practice_list,adjective,y34
month,month,practice_list,noun,y34
society,so-ci-e-ty,practice_list,noun,y34
pause,pause,practice_list,noun,y34
public,pub-lic,practice_list,adjective,y34
faint,faint,practice_list,adjective,y34
hallway,hall-way,practice_list,noun,y34
taste,taste,practice_list,noun,y34
plenty,plen-ty,practice_list,noun,y34
footsteps,foot-steps,practice_list,noun,y34
milk,milk,practice_list,noun,y34
brave,brave,practice_list,adjective,y34
least,least,practice_list,adverb,y34
sir,sir,practice_list,noun,y34
uncle,un-cle,practice_list,noun,y34
mine,mine,practice_list,pronoun,y34
guess,guess,practice_list,verb,y34
broken,bro-ken,practice_list,adjective,y34
truth,truth,practice_list,noun,y34
single,sin-gle,practice_list,adjective,y34
captain,cap-tain,practice_list,noun,y34
news,news,practice_list,noun,y34
indeed,in-deed,practice_list,adverb,y34
till,till,practice_list,preposition,y34
hardly,hard-ly,practice_list,adverb,y34
lie,lie,practice_list,verb,y34
asleep,a-sleep,practice_list,adjective,y34
frank,frank,practice_list,adjective,y34
god,god,practice_list,noun,y34
human,hu-man,practice_list,adjective,y34
hall,hall,practice_list,noun,y34
beneath,be-neath,practice_list,preposition,y34
pain,pain,practice_list,noun,y34
fight,fight,practice_list,verb,y34
die,die,practice_list,verb,y34
beyond,be-yond,practice_list,preposition,y34
stupid,stu-pid,practice_list,adjective,y34
angry,an-gry,practice_list,adjective,y34
master,mas-ter,practice_list,noun,y34
barely,bare-ly,practice_list,adverb,y34
guy,guy,practice_list,noun,y34
nor,nor,practice_list,conjunction,y34
violet,vi-o-let,practice_list,noun,y34
third,third,practice_list,adjective,y34
entire,en-tire,practice_list,adjective,y34
hate,hate,practice_list,verb,y34
problem,prob-lem,practice_list,noun,y34
gaze,gaze,practice_list,verb,y34
force,force,practice_list,noun,y34
mama,ma-ma,practice_list,noun,y34
south,south,practice_list,noun,y34
clearly,clear-ly,practice_list,adverb,y34
papa,pa-pa,practice_list,noun,y34
whom,whom,practice_list,pronoun,y34
spread,spread,practice_list,verb,y34
muttered,mut-tered,practice_list,verb,y34
mark,mark,practice_list,noun,y34
hiding,hid-ing,practice_list,verb,y34
besides,be-sides,practice_list,adverb,y34
dance,dance,practice_list,verb,y34
realise,re-al-ise,practice_list,verb,y34
robin,rob-in,practice_list,noun,y34
hiccup,hic-cup,practice_list,noun,y34
soul,soul,practice_list,noun,y34
truck,truck,practice_list,noun,y34
lip,lip,practice_list,noun,y34
exclaim,ex-claim,practice_list,verb,y34
scream,scream,practice_list,noun,y34
horror,hor-ror,practice_list,noun,y34
deck,deck,practice_list,noun,y34
prison,pris-on,practice_list,noun,y34
lily,lil-y,practice_list,noun,y34
totally,to-tal-ly,practice_list,adverb,y34
cast,cast,practice_list,verb,y34
bar,bar,practice_list,noun,y34
hers,hers,practice_list,pronoun,y34
farm,farm,practice_list,noun,y34
directly,di-rect-ly,practice_list,adverb,y34
meat,meat,practice_list,noun,y34
admit,ad-mit,practice_list,verb,y34
dirt,dirt,practice_list,noun,y34
palm,palm,practice_list,noun,y34
apparently,ap-par-ent-ly,practice_list,adverb,y34
extra,ex-tra,practice_list,adjective,y34
plastic,plas-tic,practice_list,noun,y34
rush,rush,practice_list,verb,y34
fool,fool,practice_list,noun,y34
excuse,ex-cuse,practice_list,noun,y34
ivy,i-vy,practice_list,noun,y34
service,ser-vice,practice_list,noun,y34
colour,col-our,practice_list,noun,y34
joy,joy,practice_list,noun,y34
bound,bound,practice_list,adjective,y34
effort,ef-fort,practice_list,noun,y34
officer,of-fi-cer,practice_list,noun,y34
ash,ash,practice_list,noun,y34
subject,sub-ject,practice_list,noun,y34
choose,choose,practice_list,verb,y34
crack,crack,practice_list,noun,y34
distant,dis-tant,practice_list,adjective,y34
underneath,un-der-neath,practice_list,preposition,y34
seriously,se-ri-ous-ly,practice_list,adverb,y34
sticky,stick-y,practice_list,adjective,y34
blade,blade,practice_list,noun,y34
clever,clev-er,practice_list,adjective,y34
downstairs,down-stairs,practice_list,adverb,y34
amazing,a-maz-ing,practice_list,adjective,y34
grand,grand,practice_list,adjective,y34
sweat,sweat,practice_list,noun,y34
crew,crew,practice_list,noun,y34
flesh,flesh,practice_list,noun,y34
particularly,par-tic-u-lar-ly,practice_list,adverb,y34
fence,fence,practice_list,noun,y34
cloak,cloak,practice_list,noun,y34
shoot,shoot,practice_list,verb,y34
curious,cu-ri-ous,practice_list,adjective,y34
plane,plane,practice_list,noun,y34
properly,prop-er-ly,practice_list,adverb,y34
blanket,blan-ket,practice_list,noun,y34
allow,al-low,practice_list,verb,y34
avoid,a-void,practice_list,verb,y34
gift,gift,practice_list,noun,y34
support,sup-port,practice_list,noun,y34
security,se-cu-ri-ty,practice_list,noun,y34
lap,lap,practice_list,noun,y34
instant,in-stant,practice_list,noun,y34
grandmother,grand-moth-er,practice_list,noun,y34
presence,pres-ence,practice_list,noun,y34
tightly,tight-ly,practice_list,adverb,y34
safety,safe-ty,practice_list,noun,y34
glow,glow,practice_list,noun,y34
driver,driv-er,practice_list,noun,y34
joke,joke,practice_list,noun,y34
massive,mas-sive,practice_list,adjective,y34
college,col-lege,practice_list,noun,y34
sing,sing,practice_list,verb,y34
shore,shore,practice_list,noun,y34
dawn,dawn,practice_list,noun,y34
steady,stead-y,practice_list,adjective,y34
president,pres-i-dent,practice_list,noun,y34
focus,fo-cus,practice_list,verb,y34
cabin,cab-in,practice_list,noun,y34
football,foot-ball,practice_list,noun,y34
anybody,an-y-bod-y,practice_list,pronoun,y34
smooth,smooth,practice_list,adjective,y34
scarlet,scar-let,practice_list,adjective,y34
hug,hug,practice_list,verb,y34
bowl,bowl,practice_list,noun,y34
bother,both-er,practice_list,verb,y34
leader,lead-er,practice_list,noun,y34
manage,man-age,practice_list,verb,y34
manner,man-ner,practice_list,noun,y34
local,lo-cal,practice_list,adjective,y34
midnight,mid-night,practice_list,noun,y34
teach,teach,practice_list,verb,y34
press,press,practice_list,verb,y34
block,block,practice_list,noun,y34
enjoy,en-joy,practice_list,verb,y34
rough,rough,practice_list,adjective,y34
mission,mis-sion,practice_list,noun,y34
belt,belt,practice_list,noun,y34
roar,roar,practice_list,noun,y34
radio,ra-di-o,practice_list,noun,y34
cream,cream,practice_list,noun,y34
alarm,a-larm,practice_list,noun,y34
curtain,cur-tain,practice_list,noun,y34
agree,a-gree,practice_list,verb,y34
